Regions,Date,Channel,Product,Sales
Africa,1/1/2024,Distributor,Support,"5,688.00"
Africa,1/2/2024,Distributor,Certification,"2,528.00"
Africa,1/3/2024,Distributor,MIS,"5,676.00"
Africa,1/4/2024,Distributor,ERP,"7,179.00"
Africa,1/5/2024,Distributor,OTHERS,"1,001.00"
Africa,1/6/2024,Distributor,OS,"6,251.00"
Africa,1/7/2024,Distributor,Cloud Service,"5,071.00"
Africa,1/8/2024,Distributor,Support,"1,309.00"
Africa,1/9/2024,Distributor,Certification,"5,339.00"
North America,1/10/2024,Distributor,Certification,"5,805.00"
North America,1/11/2024,Cloud,Support,"5,550.00"
North America,1/12/2024,Cloud,Certification,"1,182.00"
North America,1/13/2024,Cloud,MIS,"1,352.00"
North America,1/14/2024,Cloud,ERP,"8,529.00"
North America,1/15/2024,Cloud,OTHERS,"6,340.00"
North America,1/16/2024,Cloud,OS,"4,900.00"
North America,1/17/2024,Cloud,Cloud Service,"4,722.00"
North America,1/18/2024,Cloud,Support,"6,909.00"
North America,1/19/2024,Cloud,Certification,"1,969.00"
North America,1/20/2024,Distributor,ERP,"2,735.00"
North America,1/21/2024,Distributor,OTHERS,"2,275.00"
North America,1/22/2024,Distributor,OS,"3,100.00"
North America,1/23/2024,Distributor,Cloud Service,"2,188.00"
North America,1/24/2024,Distributor,Support,"5,374.00"
North America,1/25/2024,Distributor,Certification,"2,860.00"
North America,1/26/2024,Distributor,MIS,"3,683.00"
North America,1/27/2024,Distributor,ERP,"6,034.00"
North America,1/28/2024,Distributor,OTHERS,"2,955.00"
North America,1/29/2024,Cloud,OS,"8,880.00"
North America,1/30/2024,Cloud,Cloud Service,"8,382.00"
North America,1/31/2024,Cloud,Support,"9,609.00"
North America,2/1/2024,Cloud,Certification,"9,878.00"
North America,2/2/2024,Cloud,MIS,"6,091.00"
North America,2/3/2024,Cloud,ERP,"1,102.00"
North America,2/4/2024,Cloud,OTHERS,"9,724.00"
North America,2/5/2024,Cloud,OS,"5,445.00"
North America,2/6/2024,Cloud,Cloud Service,"6,012.00"
Africa,2/7/2024,Cloud,OTHERS,"8,548.00"
Africa,2/8/2024,Cloud,OS,"3,678.00"
Africa,2/9/2024,Cloud,Cloud Service,"5,339.00"
Africa,2/10/2024,Cloud,Support,"2,010.00"
Africa,2/11/2024,Cloud,Certification,"6,807.00"
Africa,2/12/2024,Cloud,MIS,"8,090.00"
Africa,2/13/2024,Cloud,ERP,"1,582.00"
Africa,2/14/2024,Cloud,OTHERS,"1,977.00"
Africa,2/15/2024,Cloud,OS,"8,815.00"
Africa,2/16/2024,Cloud,ERP,"9,885.00"
Africa,2/17/2024,Cloud,OTHERS,"6,147.00"
Africa,2/18/2024,Cloud,OS,"6,263.00"
Africa,2/19/2024,Cloud,Cloud Service,"3,271.00"
Africa,2/20/2024,Cloud,Support,"6,254.00"
Africa,2/21/2024,Cloud,Certification,"8,592.00"
Africa,2/22/2024,Cloud,MIS,"7,454.00"
Africa,2/23/2024,Cloud,ERP,"4,659.00"
Africa,2/24/2024,Cloud,OTHERS,"5,634.00"
Africa,2/25/2024,Cloud,OS,"3,166.00"
Africa,2/26/2024,Cloud,Cloud Service,"6,415.00"
Africa,2/27/2024,Cloud,Support,"1,269.00"
Africa,2/28/2024,Cloud,Certification,"2,541.00"
Africa,2/29/2024,Cloud,MIS,"5,608.00"
Africa,3/1/2024,Cloud,ERP,"8,957.00"
Africa,3/2/2024,Cloud,OTHERS,"6,753.00"
Africa,3/3/2024,Cloud,OS,"1,395.00"
Africa,3/4/2024,Cloud,Cloud Service,"1,473.00"
North America,3/5/2024,OEM,OS,"7,426.00"
North America,3/6/2024,OEM,OTHERS,"2,541.00"
North America,3/7/2024,OEM,OS,"4,307.00"
Asia,3/8/2024,Distributor,OTHERS,"1,218.00"
Asia,3/9/2024,Distributor,ERP,"7,498.00"
North America,3/10/2024,Distributor,ERP,"4,657.00"
North America,3/11/2024,Distributor,OTHERS,"8,165.00"
North America,3/12/2024,Distributor,OS,"3,384.00"
North America,3/13/2024,Distributor,Cloud Service,"7,462.00"
North America,3/14/2024,Distributor,Support,"7,828.00"
North America,3/15/2024,Distributor,Certification,"9,272.00"
North America,3/16/2024,Distributor,MIS,"9,202.00"
North America,3/17/2024,Distributor,ERP,"6,312.00"
North America,3/18/2024,Distributor,OTHERS,"6,547.00"
North America,3/19/2024,Distributor,Support,"5,193.00"
Africa,3/20/2024,Cloud,MIS,"2,638.00"
Africa,3/21/2024,Cloud,ERP,"5,064.00"
North America,3/22/2024,Distributor,OS,"1,679.00"
North America,3/23/2024,Distributor,Cloud Service,"4,446.00"
North America,3/24/2024,Distributor,ERP,"8,419.00"
Africa,3/25/2024,Distributor,MIS,"4,776.00"
Africa,3/26/2024,Distributor,ERP,"6,519.00"
Africa,3/27/2024,Distributor,OTHERS,"6,174.00"
Africa,3/28/2024,Distributor,OS,"3,819.00"
Africa,3/29/2024,Distributor,Cloud Service,"5,923.00"
Africa,3/30/2024,Distributor,Support,"9,703.00"
Africa,3/31/2024,Distributor,Certification,"9,937.00"
Africa,4/1/2024,Distributor,MIS,"1,113.00"
Africa,4/2/2024,Distributor,ERP,"3,913.00"
Asia,4/3/2024,OEM,MIS,"3,256.00"
